"filename", "language", "Java", "Rust", "comment", "blank", "total"
"/home/vostok/codes/Trylma/Server/Client/src/main/java/com/example/App.java", "Java", 9, 0, 0, 4, 13
"/home/vostok/codes/Trylma/Server/Client/src/main/java/com/example/BoardCreator.java", "Java", 171, 0, 3, 22, 196
"/home/vostok/codes/Trylma/Server/Client/src/main/java/com/example/Client.java", "Java", 170, 0, 7, 36, 213
"/home/vostok/codes/Trylma/Server/Client/src/main/java/com/example/DB/Move.java", "Java", 40, 0, 1, 15, 56
"/home/vostok/codes/Trylma/Server/Client/src/main/java/com/example/DB/MoveRepository.java", "Java", 8, 0, 0, 4, 12
"/home/vostok/codes/Trylma/Server/Client/src/main/java/com/example/DB/MoveService.java", "Java", 24, 0, 2, 8, 34
"/home/vostok/codes/Trylma/Server/Client/src/main/java/com/example/DB/Save.java", "Java", 44, 0, 1, 15, 60
"/home/vostok/codes/Trylma/Server/Client/src/main/java/com/example/DB/SaveRepository.java", "Java", 5, 0, 0, 3, 8
"/home/vostok/codes/Trylma/Server/Client/src/main/java/com/example/DB/SaveService.java", "Java", 33, 0, 3, 9, 45
"/home/vostok/codes/Trylma/Server/Client/src/main/java/com/example/GameGUI.java", "Java", 27, 0, 0, 9, 36
"/home/vostok/codes/Trylma/Server/Client/src/main/java/com/example/Lobby.java", "Java", 82, 0, 6, 14, 102
"/home/vostok/codes/Trylma/Server/Client/src/main/java/com/example/Position.java", "Java", 20, 0, 0, 4, 24
"/home/vostok/codes/Trylma/Server/Client/src/main/java/com/example/SpringContext.java", "Java", 12, 0, 0, 5, 17
"/home/vostok/codes/Trylma/Server/src/Client.rs", "Rust", 0, 59, 5, 4, 68
"/home/vostok/codes/Trylma/Server/src/Server.rs", "Rust", 0, 346, 11, 59, 416
"/home/vostok/codes/Trylma/src/main/java/com/example/Board.java", "Java", 136, 0, 0, 13, 149
"/home/vostok/codes/Trylma/src/main/java/com/example/BoardLoader.java", "Java", 65, 0, 0, 11, 76
"/home/vostok/codes/Trylma/src/main/java/com/example/ChaosBoard.java", "Java", 79, 0, 0, 8, 87
"/home/vostok/codes/Trylma/src/main/java/com/example/Colors.java", "Java", 34, 0, 0, 8, 42
"/home/vostok/codes/Trylma/src/main/java/com/example/FilledBoard.java", "Java", 71, 0, 0, 6, 77
"/home/vostok/codes/Trylma/src/main/java/com/example/Game.java", "Java", 129, 0, 17, 27, 173
"/home/vostok/codes/Trylma/src/main/java/com/example/Main.java", "Java", 32, 0, 3, 9, 44
"/home/vostok/codes/Trylma/src/main/java/com/example/Move.java", "Java", 65, 0, 0, 10, 75
"/home/vostok/codes/Trylma/src/main/java/com/example/MoveFactory/EscapeMove.java", "Java", 12, 0, 0, 3, 15
"/home/vostok/codes/Trylma/src/main/java/com/example/MoveFactory/ForbiddenMove.java", "Java", 12, 0, 0, 2, 14
"/home/vostok/codes/Trylma/src/main/java/com/example/MoveFactory/MoveHandler.java", "Java", 5, 0, 0, 1, 6
"/home/vostok/codes/Trylma/src/main/java/com/example/MoveFactory/MoveHandlerFactory.java", "Java", 21, 0, 0, 1, 22
"/home/vostok/codes/Trylma/src/main/java/com/example/MoveFactory/NoPawnMove.java", "Java", 12, 0, 0, 3, 15
"/home/vostok/codes/Trylma/src/main/java/com/example/MoveFactory/NotEmptyMove.java", "Java", 12, 0, 0, 3, 15
"/home/vostok/codes/Trylma/src/main/java/com/example/MoveFactory/NotExistMove.java", "Java", 12, 0, 0, 3, 15
"/home/vostok/codes/Trylma/src/main/java/com/example/MoveFactory/OkMoveHandler.java", "Java", 12, 0, 0, 5, 17
"/home/vostok/codes/Trylma/src/main/java/com/example/MoveFactory/UnknownError.java", "Java", 12, 0, 0, 3, 15
"/home/vostok/codes/Trylma/src/main/java/com/example/Pawn.java", "Java", 116, 0, 0, 18, 134
"/home/vostok/codes/Trylma/src/main/java/com/example/Player.java", "Java", 418, 0, 6, 22, 446
"/home/vostok/codes/Trylma/src/main/java/com/example/PlayerManager.java", "Java", 59, 0, 0, 5, 64
"/home/vostok/codes/Trylma/src/main/java/com/example/Square.java", "Java", 85, 0, 0, 13, 98
"/home/vostok/codes/Trylma/src/main/java/com/example/YinBoard.java", "Java", 59, 0, 0, 7, 66
"/home/vostok/codes/Trylma/src/main/java/com/example/state/ActiveState.java", "Java", 16, 0, 0, 4, 20
"/home/vostok/codes/Trylma/src/main/java/com/example/state/InactiveState.java", "Java", 16, 0, 0, 4, 20
"/home/vostok/codes/Trylma/src/main/java/com/example/state/PlayerState.java", "Java", 7, 0, 0, 2, 9
"/home/vostok/codes/Trylma/src/main/java/com/example/strategy/BoardStrategy.java", "Java", 5, 0, 0, 3, 8
"/home/vostok/codes/Trylma/src/main/java/com/example/strategy/BoardStrategyFactory.java", "Java", 16, 0, 1, 2, 19
"/home/vostok/codes/Trylma/src/main/java/com/example/strategy/ChaosBoardStrategy.java", "Java", 9, 0, 0, 3, 12
"/home/vostok/codes/Trylma/src/main/java/com/example/strategy/FilledBoardStrategy.java", "Java", 9, 0, 0, 3, 12
"/home/vostok/codes/Trylma/src/main/java/com/example/strategy/YinBoardStrategy.java", "Java", 9, 0, 0, 3, 12
"/home/vostok/codes/Trylma/src/test/java/com/example/GameStatusTest.java", "Java", 23, 0, 0, 4, 27
"/home/vostok/codes/Trylma/src/test/java/com/example/GameTest.java", "Java", 28, 0, 0, 6, 34
"/home/vostok/codes/Trylma/src/test/java/com/example/MoveTest.java", "Java", 15, 0, 0, 3, 18
"Total", "-", 2256, 405, 66, 429, 3156
